date,state,district,pincode,bio_age_5_17,bio_age_17_,demo_age_5_17,demo_age_17_,age_0_5,age_5_17,age_18_greater,total_5_17
2025-07-11,Maharashtra,Mumbai Suburban,400086,12,6,1,21,4,0,0,13
2025-07-11,Maharashtra,Mumbai Suburban,400088,8,16,1,22,1,0,0,9
2025-07-11,Maharashtra,Mumbai Suburban,400091,3,2,0,8,1,0,0,3
2025-07-11,Maharashtra,Mumbai Suburban,400099,22,3,0,8,1,2,0,22
2025-11-09,Maharashtra,Mumbai Suburban,400024,9,6,0,7,0,1,0,9
2025-11-09,Maharashtra,Mumbai Suburban,400049,0,2,1,6,1,0,0,1
2025-11-09,Maharashtra,Mumbai Suburban,400058,3,4,1,27,1,1,0,4
2025-11-09,Maharashtra,Mumbai Suburban,400067,196,33,5,45,7,3,0,201
2025-11-09,Maharashtra,Mumbai Suburban,400071,9,7,1,19,5,1,0,10
2025-11-09,Maharashtra,Mumbai Suburban,400074,12,4,0,17,2,0,0,12
2025-11-09,Maharashtra,Mumbai Suburban,400076,1,4,1,11,1,1,0,2
2025-11-09,Maharashtra,Mumbai Suburban,400078,36,13,4,24,2,0,0,40
2025-11-09,Maharashtra,Mumbai Suburban,400089,7,11,0,11,1,1,1,7
2025-11-09,Maharashtra,Mumbai Suburban,400091,4,4,0,14,1,0,0,4
2025-11-09,Maharashtra,Mumbai Suburban,400097,23,21,7,45,3,2,0,30
2025-11-09,Maharashtra,Mumbai Suburban,400101,98,27,2,47,6,2,0,100
2025-11-09,Maharashtra,Mumbai Suburban,400102,9,6,2,37,4,2,0,11
2025-11-09,Maharashtra,Mumbai Suburban,400103,1,8,1,10,4,0,0,2
2025-06-09,Maharashtra,Mumbai Suburban,400054,7,3,1,9,0,1,0,8
2025-06-09,Maharashtra,Mumbai Suburban,400055,3,1,0,6,1,0,0,3
2025-06-09,Maharashtra,Mumbai Suburban,400063,1,1,1,8,2,0,0,2
2025-06-09,Maharashtra,Mumbai Suburban,400072,8,8,12,35,3,5,0,20
2025-06-09,Maharashtra,Mumbai Suburban,400081,10,2,0,6,1,0,0,10
2025-06-09,Maharashtra,Mumbai Suburban,400102,2,1,0,29,2,0,0,2
2025-05-09,Maharashtra,Mumbai Suburban,400051,4,9,1,12,3,0,0,5
2025-05-09,Maharashtra,Mumbai Suburban,400078,7,5,0,14,1,0,0,7
2025-05-09,Maharashtra,Mumbai Suburban,400084,4,4,0,2,1,0,0,4
2025-05-09,Maharashtra,Mumbai Suburban,400102,5,3,1,12,0,1,0,6
2025-07-09,Maharashtra,Mumbai Suburban,400053,1,0,0,3,0,1,0,1
2025-07-09,Maharashtra,Mumbai Suburban,400101,4,7,4,13,3,2,0,8
2025-08-09,Maharashtra,Mumbai Suburban,400063,3,0,0,12,1,1,0,3
2025-08-09,Maharashtra,Mumbai Suburban,400068,0,1,1,22,0,2,0,1
2025-08-09,Maharashtra,Mumbai Suburban,400086,3,1,1,6,0,3,0,4
2025-04-09,Maharashtra,Mumbai Suburban,400050,1,8,4,13,0,1,0,5
2025-04-09,Maharashtra,Mumbai Suburban,400055,9,4,1,17,1,0,2,10
2025-04-09,Maharashtra,Mumbai Suburban,400067,6,18,2,32,4,3,0,8
2025-04-09,Maharashtra,Mumbai Suburban,400068,5,4,1,33,3,0,0,6
2025-04-09,Maharashtra,Mumbai Suburban,400075,4,2,0,13,0,1,0,4
2025-04-09,Maharashtra,Mumbai Suburban,400081,5,4,1,14,1,0,0,6
2025-04-09,Maharashtra,Mumbai Suburban,400088,15,12,3,18,2,1,0,18
2025-04-09,Maharashtra,Mumbai Suburban,400097,10,11,4,35,3,0,0,14
2025-03-09,Maharashtra,Mumbai Suburban,400024,4,6,0,7,1,0,0,4
2025-03-09,Maharashtra,Mumbai Suburban,400059,3,4,0,13,3,0,1,3
2025-03-09,Maharashtra,Mumbai Suburban,400065,6,5,1,9,1,0,0,7
2025-03-09,Maharashtra,Mumbai Suburban,400078,6,13,3,22,2,1,0,9
2025-03-09,Maharashtra,Mumbai Suburban,400080,1,9,4,36,2,0,0,5
2025-03-09,Maharashtra,Mumbai Suburban,400084,2,1,0,4,2,0,0,2
2025-03-09,Maharashtra,Mumbai Suburban,400099,3,2,1,17,0,2,0,4
2025-09-09,Maharashtra,Mumbai Suburban,400043,63,43,7,52,10,3,0,70
2025-09-09,Maharashtra,Mumbai Suburban,400052,1,0,0,4,1,0,0,1
2025-09-09,Maharashtra,Mumbai Suburban,400060,5,8,0,9,3,0,0,5
2025-09-09,Maharashtra,Mumbai Suburban,400066,5,7,0,22,0,1,0,5
2025-09-09,Maharashtra,Mumbai Suburban,400069,6,2,0,12,1,0,0,6
2025-09-09,Maharashtra,Mumbai Suburban,400072,20,14,3,47,10,0,0,23
2025-09-09,Maharashtra,Mumbai Suburban,400081,2,5,0,7,3,0,0,2
2025-09-09,Maharashtra,Mumbai Suburban,400086,9,8,2,11,2,2,0,11
2025-09-09,Maharashtra,Mumbai Suburban,400088,15,16,1,17,6,1,0,16
2025-09-09,Maharashtra,Mumbai Suburban,400089,5,5,0,10,1,2,0,5
2025-09-09,Maharashtra,Mumbai Suburban,400093,12,7,3,7,3,0,0,15
2025-09-09,Maharashtra,Mumbai Suburban,400104,8,11,3,37,2,2,0,11
2025-10-09,Maharashtra,Mumbai Suburban,400055,12,14,0,24,3,1,0,12
2025-10-09,Maharashtra,Mumbai Suburban,400060,25,14,1,12,1,0,0,26
2025-10-09,Maharashtra,Mumbai Suburban,400066,10,12,5,15,4,0,0,15
2025-10-09,Maharashtra,Mumbai Suburban,400071,13,8,2,18,1,0,0,15
2025-10-09,Maharashtra,Mumbai Suburban,400076,4,2,3,12,1,0,0,7
2025-10-09,Maharashtra,Mumbai Suburban,400080,15,5,1,36,4,0,0,16
2025-10-09,Maharashtra,Mumbai Suburban,400081,2,3,1,15,1,0,0,3
2025-10-09,Maharashtra,Mumbai Suburban,400083,7,14,0,12,1,0,0,7
2025-10-09,Maharashtra,Mumbai Suburban,400087,2,0,0,0,1,0,0,2
2025-10-09,Maharashtra,Mumbai Suburban,400089,1,2,0,9,2,0,0,1
2025-10-09,Maharashtra,Mumbai Suburban,400091,2,4,1,5,2,0,0,3
2025-01-09,Maharashtra,Mumbai Suburban,400043,50,58,17,57,14,4,0,67
2025-01-09,Maharashtra,Mumbai Suburban,400059,4,3,0,11,2,1,0,4
2025-01-09,Maharashtra,Mumbai Suburban,400060,7,6,2,13,1,1,0,9
2025-01-09,Maharashtra,Mumbai Suburban,400067,32,31,3,47,7,2,0,35
2025-01-09,Maharashtra,Mumbai Suburban,400068,8,8,1,26,3,3,0,9
2025-01-09,Maharashtra,Mumbai Suburban,400072,14,15,5,36,2,1,0,19
2025-01-09,Maharashtra,Mumbai Suburban,400074,3,8,4,21,1,0,0,7
2025-01-09,Maharashtra,Mumbai Suburban,400077,4,6,0,9,1,0,0,4
2025-01-09,Maharashtra,Mumbai Suburban,400078,15,6,3,17,3,0,0,18
2025-01-09,Maharashtra,Mumbai Suburban,400081,4,10,1,9,2,1,0,5
2025-01-09,Maharashtra,Mumbai Suburban,400084,4,4,0,6,2,1,0,4
2025-01-09,Maharashtra,Mumbai Suburban,400104,16,16,5,24,1,1,0,21
2025-02-09,Maharashtra,Mumbai Suburban,400024,2,6,1,7,0,3,0,3
2025-02-09,Maharashtra,Mumbai Suburban,400049,3,1,0,11,1,0,0,3
2025-02-09,Maharashtra,Mumbai Suburban,400051,8,2,1,24,2,1,1,9
2025-02-09,Maharashtra,Mumbai Suburban,400053,5,8,0,19,4,2,0,5
2025-02-09,Maharashtra,Mumbai Suburban,400068,7,8,1,29,4,0,0,8
2025-02-09,Maharashtra,Mumbai Suburban,400102,3,9,3,39,1,0,0,6
2025-12-09,Maharashtra,Mumbai Suburban,400042,4,7,1,9,2,0,0,5
2025-12-09,Maharashtra,Mumbai Suburban,400055,10,9,2,23,3,1,0,12
2025-12-09,Maharashtra,Mumbai Suburban,400056,2,0,0,9,1,0,1,2
2025-12-09,Maharashtra,Mumbai Suburban,400057,3,1,3,12,1,0,0,6
2025-12-09,Maharashtra,Mumbai Suburban,400058,2,4,1,20,2,1,0,3
2025-12-09,Maharashtra,Mumbai Suburban,400059,5,3,2,8,2,1,0,7
2025-12-09,Maharashtra,Mumbai Suburban,400064,21,6,5,23,2,0,0,26
2025-12-09,Maharashtra,Mumbai Suburban,400068,32,20,4,31,5,2,0,36
2025-12-09,Maharashtra,Mumbai Suburban,400078,47,11,2,21,3,1,0,49
2025-12-09,Maharashtra,Mumbai Suburban,400079,9,7,1,3,2,0,0,10
2025-12-09,Maharashtra,Mumbai Suburban,400089,11,3,0,12,0,1,0,11
2025-12-09,Maharashtra,Mumbai Suburban,400094,0,2,3,5,1,0,0,3
2025-12-09,Maharashtra,Mumbai Suburban,400104,26,12,2,18,1,1,0,28
2026-01-01,Maharashtra,Mumbai Suburban,400042,20,6,0,10,7,2,0,20
2026-01-01,Maharashtra,Mumbai Suburban,400060,27,22,0,13,7,4,0,27
2026-01-01,Maharashtra,Mumbai Suburban,400076,18,9,2,9,3,1,1,20
2026-01-01,Maharashtra,Mumbai Suburban,400088,23,15,2,10,3,3,0,25
2026-01-01,Maharashtra,Mumbai Suburban,400104,33,14,2,18,10,3,0,35
2026-02-01,Maharashtra,Mumbai Suburban,400024,9,4,1,15,2,3,0,10
2026-02-01,Maharashtra,Mumbai Suburban,400050,11,5,1,24,1,1,1,12
2026-02-01,Maharashtra,Mumbai Suburban,400051,26,15,4,23,2,1,0,30
2026-02-01,Maharashtra,Mumbai Suburban,400054,8,6,0,17,1,0,0,8
2026-02-01,Maharashtra,Mumbai Suburban,400063,3,5,2,19,2,2,0,5
2026-02-01,Maharashtra,Mumbai Suburban,400084,12,6,2,6,2,0,0,14
2026-02-01,Maharashtra,Mumbai Suburban,400089,12,2,2,14,0,1,0,14
2026-02-01,Maharashtra,Mumbai Suburban,400091,7,7,3,7,1,0,0,10
2026-02-01,Maharashtra,Mumbai Suburban,400095,27,24,6,65,8,1,0,33
2026-02-01,Maharashtra,Mumbai Suburban,400099,4,1,1,15,4,1,0,5
2026-02-01,Maharashtra,Mumbai Suburban,400102,23,6,10,31,5,5,0,33
2026-03-01,Maharashtra,Mumbai Suburban,400059,2,1,1,2,0,2,0,3
2026-03-01,Maharashtra,Mumbai Suburban,400066,7,2,1,6,0,2,0,8
2026-03-01,Maharashtra,Mumbai Suburban,400072,5,3,2,6,1,1,0,7
2026-03-01,Maharashtra,Mumbai Suburban,400101,4,1,3,8,0,1,0,7
2025-01-05,Maharashtra,Mumbai Suburban,400097,378,394,159,1237,66,40,26,537
2025-09-11,Maharashtra,Mumbai Suburban,400064,0,4,0,4,2,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400082,0,1,0,1,1,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400089,0,6,0,6,2,0,0,0
2025-09-11,Maharashtra,Mumbai Suburban,400091,0,4,0,4,1,0,0,0
2025-02-11,Maharashtra,Mumbai Suburban,400054,0,2,0,2,1,0,0,0
2025-02-11,Maharashtra,Mumbai Suburban,400058,0,3,0,3,5,2,0,0
2025-02-11,Maharashtra,Mumbai Suburban,400081,0,5,0,5,3,0,0,0
2025-07-09,Maharashtra,Mumbai Suburban,400043,2,2,5,14,1,0,0,7
2025-07-09,Maharashtra,Mumbai Suburban,400070,3,2,0,6,1,0,0,3
2025-08-09,Maharashtra,Mumbai Suburban,400043,9,4,0,12,0,3,0,9
2025-08-09,Maharashtra,Mumbai Suburban,400053,0,1,0,8,2,0,0,0
2025-08-09,Maharashtra,Mumbai Suburban,400055,1,2,2,10,1,2,0,3
2025-08-09,Maharashtra,Mumbai Suburban,400069,1,0,0,4,0,2,0,1
2025-08-09,Maharashtra,Mumbai Suburban,400104,2,2,2,26,2,0,0,4
2025-11-09,Maharashtra,Mumbai Suburban,400042,4,0,0,5,1,1,0,4
2025-11-09,Maharashtra,Mumbai Suburban,400052,6,1,0,3,2,0,0,6
2025-11-09,Maharashtra,Mumbai Suburban,400066,6,8,1,21,3,1,0,7
2025-11-09,Maharashtra,Mumbai Suburban,400069,6,1,0,10,2,0,0,6
2025-11-09,Maharashtra,Mumbai Suburban,400070,37,30,7,38,1,2,0,44
2025-11-09,Maharashtra,Mumbai Suburban,400083,10,14,1,12,1,0,0,11
2025-11-09,Maharashtra,Mumbai Suburban,400086,108,9,1,19,1,0,0,109
2025-11-09,Maharashtra,Mumbai Suburban,400092,11,15,1,25,2,1,0,12
2025-11-09,Maharashtra,Mumbai Suburban,400095,20,16,4,37,3,2,0,24
2025-11-09,Maharashtra,Mumbai Suburban,400099,7,2,2,16,1,0,0,9
2025-10-09,Maharashtra,Mumbai Suburban,400042,8,1,0,9,0,2,0,8
2025-10-09,Maharashtra,Mumbai Suburban,400043,46,54,10,63,13,7,0,56
2025-10-09,Maharashtra,Mumbai Suburban,400052,5,3,0,8,1,0,0,5
2025-10-09,Maharashtra,Mumbai Suburban,400059,4,2,0,16,4,0,0,4
2025-10-09,Maharashtra,Mumbai Suburban,400070,29,26,8,39,5,1,0,37
2025-10-09,Maharashtra,Mumbai Suburban,400072,21,18,8,50,4,1,0,29
2025-04-09,Maharashtra,Mumbai Suburban,400051,8,9,0,23,1,2,0,8
2025-04-09,Maharashtra,Mumbai Suburban,400063,5,2,0,10,0,1,0,5
2025-04-09,Maharashtra,Mumbai Suburban,400069,0,4,0,5,1,0,0,0
2025-04-09,Maharashtra,Mumbai Suburban,400076,3,3,1,8,1,0,0,4
2025-04-09,Maharashtra,Mumbai Suburban,400078,7,10,3,24,5,1,0,10
2025-04-09,Maharashtra,Mumbai Suburban,400101,9,9,1,23,1,1,0,10
2025-03-09,Maharashtra,Mumbai Suburban,400049,1,0,0,6,1,0,0,1
2025-03-09,Maharashtra,Mumbai Suburban,400052,1,3,0,7,1,0,0,1
2025-03-09,Maharashtra,Mumbai Suburban,400063,6,2,2,9,1,0,0,8
2025-03-09,Maharashtra,Mumbai Suburban,400068,6,19,3,32,4,3,0,9
2025-03-09,Maharashtra,Mumbai Suburban,400069,3,4,0,9,2,0,0,3
2025-03-09,Maharashtra,Mumbai Suburban,400070,17,28,3,43,7,0,0,20
2025-03-09,Maharashtra,Mumbai Suburban,400089,9,6,1,13,1,0,0,10
2025-03-09,Maharashtra,Mumbai Suburban,400097,12,21,5,33,7,1,0,17
2025-03-09,Maharashtra,Mumbai Suburban,400103,0,2,1,9,1,1,0,1
2025-09-09,Maharashtra,Mumbai Suburban,400061,1,5,0,7,0,0,1,1
2025-09-09,Maharashtra,Mumbai Suburban,400064,4,7,1,24,2,0,0,5
2025-09-09,Maharashtra,Mumbai Suburban,400065,9,8,2,11,3,1,0,11
2025-09-09,Maharashtra,Mumbai Suburban,400070,23,29,2,38,6,0,0,25
2025-09-09,Maharashtra,Mumbai Suburban,400077,3,8,0,11,3,1,0,3
2025-09-09,Maharashtra,Mumbai Suburban,400083,8,14,1,22,3,0,0,9
2025-09-09,Maharashtra,Mumbai Suburban,400084,5,6,0,5,1,0,0,5
2025-09-09,Maharashtra,Mumbai Suburban,400092,2,12,1,22,2,0,0,3
2025-09-09,Maharashtra,Mumbai Suburban,400099,2,0,0,18,0,1,0,2
2025-05-11,Maharashtra,Mumbai Suburban,400043,15,10,3,45,11,3,0,18
2025-05-11,Maharashtra,Mumbai Suburban,400051,1,0,0,23,6,0,0,1
2025-05-11,Maharashtra,Mumbai Suburban,400052,6,1,3,5,1,0,0,9
2025-05-11,Maharashtra,Mumbai Suburban,400058,1,1,2,15,5,0,0,3
2025-05-11,Maharashtra,Mumbai Suburban,400064,2,4,1,22,0,1,0,3
2025-05-11,Maharashtra,Mumbai Suburban,400072,21,10,9,49,9,2,0,30
2025-05-11,Maharashtra,Mumbai Suburban,400074,12,4,4,18,3,1,0,16
2025-05-11,Maharashtra,Mumbai Suburban,400079,5,4,2,9,1,0,0,7
2025-05-11,Maharashtra,Mumbai Suburban,400083,7,7,0,11,3,1,0,7
2025-05-11,Maharashtra,Mumbai Suburban,400088,5,7,0,16,1,1,0,5
2025-05-11,Maharashtra,Mumbai Suburban,400095,25,14,3,35,2,0,0,28
2025-04-11,Maharashtra,Mumbai Suburban,400051,15,18,4,24,0,1,0,19
2025-03-11,Maharashtra,Mumbai Suburban,400049,3,2,1,5,0,1,0,4
2025-03-11,Maharashtra,Mumbai Suburban,400053,1,2,4,27,1,0,0,5
2025-03-11,Maharashtra,Mumbai Suburban,400067,46,32,7,48,2,1,0,53
2025-03-11,Maharashtra,Mumbai Suburban,400069,2,3,1,17,1,0,0,3
2025-03-11,Maharashtra,Mumbai Suburban,400074,17,13,3,22,3,1,0,20
2025-03-11,Maharashtra,Mumbai Suburban,400077,6,6,1,15,1,0,0,7
2025-03-11,Maharashtra,Mumbai Suburban,400102,6,10,2,29,2,0,0,8
2025-03-11,Maharashtra,Mumbai Suburban,400104,16,9,6,36,1,1,0,22
2025-01-11,Maharashtra,Mumbai Suburban,400053,9,5,2,15,1,1,0,11
2025-01-11,Maharashtra,Mumbai Suburban,400057,5,7,2,8,1,0,0,7
2025-01-11,Maharashtra,Mumbai Suburban,400066,32,10,4,40,0,1,0,36
2025-01-11,Maharashtra,Mumbai Suburban,400097,36,18,5,52,2,0,0,41
2025-02-11,Maharashtra,Mumbai Suburban,400042,1,2,1,5,2,0,0,2
2025-02-11,Maharashtra,Mumbai Suburban,400068,2,1,3,15,3,5,0,5
2025-02-11,Maharashtra,Mumbai Suburban,400069,1,3,1,6,3,0,0,2
2025-02-11,Maharashtra,Mumbai Suburban,400070,6,2,0,11,12,3,0,6
2025-02-11,Maharashtra,Mumbai Suburban,400084,12,2,1,12,10,0,0,13
2025-02-11,Maharashtra,Mumbai Suburban,400086,12,3,5,15,9,0,0,17
2025-02-11,Maharashtra,Mumbai Suburban,400097,6,7,2,18,9,5,0,8
2025-02-11,Maharashtra,Mumbai Suburban,400103,0,1,0,4,0,2,0,0
